DsId;Sprecher;Orginaldatei;Datei;Start;End;Length;Duration;Size;Translated0;OriginalText;Action;Sort1
HspSections-066;Unbekannt;00000166.mp3;00000166.mp3;0;55680;58;1.740000000000001;28004;denn auch einen sinn ergab;denn auch einen sinn ergab;train9;200000
HspSections-066;Unbekannt;00000377.mp3;00000377.mp3;0;55680;58;1.740000000000001;28004;und machste darüber keine sorge;und machst dir darüber keine sorge;train8;200000
HspSections-066;Unbekannt;00000970.mp3;00000970.mp3;0;55680;58;1.740000000000001;28004;das gespräch mit einem freund;das gespräch mit einem freund;train9;200000
HspSections-066;Unbekannt;00001003.mp3;00001003.mp3;0;55680;58;1.740000000000001;28004;weil es nämlich nicht weiß;weil es nämlich nicht weiß;train9;200000
HspSections-066;Unbekannt;00001048.mp3;00001048.mp3;0;55680;58;1.740000000000001;28004;mannhaft untsuchte sie;mannhaft und suchte sie;train8;200000
HspSections-066;Unbekannt;00001147.mp3;00001147.mp3;0;55680;58;1.740000000000001;28004;wir sollten mehr nachdenken;wir sollten mehr nachdenken;train9;200000
HspSections-066;Unbekannt;00001545.mp3;00001545.mp3;0;55680;58;1.740000000000001;28004;er wandte sich der philosophie zu;er wandte sich der philosophie zu;train9;120000
HspSections-066;Unbekannt;00001875.mp3;00001875.mp3;0;55680;58;1.740000000000001;28004;wass er sich zum thema wählen sollte;was er sich zum thema wählen sollte;train8;200000
HspSections-066;Unbekannt;00002060.mp3;00002060.mp3;0;55680;58;1.740000000000001;28004;und steckten nachts dörfer in brand;und steckten nachts dörfer in brand;train9;200000
HspSections-066;Unbekannt;00002084.mp3;00002084.mp3;0;55680;58;1.740000000000001;28004;ihr verstand sagte ihn;ihr verstand sagte ihnen;train8;200000
HspSections-066;Unbekannt;00002183.mp3;00002183.mp3;0;55680;58;1.740000000000001;28004;eine solche freundschaft zu kennen;eine solche freundschaft zu kennen;train9;200000
HspSections-066;Unbekannt;00002323.mp3;00002323.mp3;0;55680;58;1.740000000000001;28004;erkundigen sollte man sich deshalb;erkundigen sollte man sich deshalb;train9;200000
HspSections-066;Unbekannt;00002392.mp3;00002392.mp3;0;55680;58;1.740000000000001;28004;wüssten bloß wenige sie zu schätzen;wüssten bloß wenige sie zu schätzen;train9;200000
HspSections-066;Unbekannt;00002703.mp3;00002703.mp3;0;55680;58;1.740000000000001;28004;eine neunzehnjährige sängerin;eine neunzehnjährige sängerin;train9;200000
HspSections-066;Unbekannt;00003323.mp3;00003323.mp3;0;55680;58;1.740000000000001;28004;ist das jagen nach glück;ist das jagen nach glück;train9;200000
HspSections-066;Unbekannt;00003337.mp3;00003337.mp3;0;55680;58;1.740000000000001;28004;wir können romane lesen;wir können romane lesen;train9;200000
HspSections-066;Unbekannt;00003640.mp3;00003640.mp3;0;55680;58;1.740000000000001;28004;nietzsche rückt das bild gerade;nietzsche rückt das bild gerade;train9;200000
HspSections-066;Unbekannt;00003663.mp3;00003663.mp3;0;55680;58;1.740000000000001;28004;das eis ist nahe;das eis ist nahe;train9;200000
HspSections-066;Unbekannt;00003673.mp3;00003673.mp3;0;55680;58;1.740000000000001;28004;meine philosophie zu verstehen;meine philosophie zu verstehen;train9;200000
HspSections-066;Unbekannt;00003680.mp3;00003680.mp3;0;55680;58;1.740000000000001;28004;kletterst du nie umsonst;kletterst du nie umsonst;train9;200000
HspSections-066;Unbekannt;00003727.mp3;00003727.mp3;0;55680;58;1.740000000000001;28004;der gipfel allerdings;der gipfel allerdings;train9;200000
HspSections-066;Unbekannt;00003803.mp3;00003803.mp3;0;55680;58;1.740000000000001;28004;und leonardo der winschis;und leonardo da vincis;train8;200000
HspSections-066;Unbekannt;00004183.mp3;00004183.mp3;0;55680;58;1.740000000000001;28004;wenigstens leicht verführt;wenigstens leicht verführt;train9;200000
HspSections-066;Unbekannt;00004228.mp3;00004228.mp3;0;55680;58;1.740000000000001;28004;wo man eigentlich recht hat;wo man eigentlich recht hat;train9;120000
HspSections-066;Unbekannt;00004442.mp3;00004442.mp3;0;55680;58;1.740000000000001;28004;oder athominem falsch ist;oder ad hominem falsch ist;train8;200000
HspSections-066;Unbekannt;00004465.mp3;00004465.mp3;0;55680;58;1.740000000000001;28004;denn das kann man selbst nicht sicher wissen;denn das kann man selbst nicht sicher wissen;train9;200000
HspSections-066;Unbekannt;00004640.mp3;00004640.mp3;0;55680;58;1.740000000000001;28004;was der gegner sagt war;was der gegner sagt war;train9;200000
HspSections-066;Unbekannt;00004667.mp3;00004667.mp3;0;55680;58;1.740000000000001;28004;aber athominem wahr sind;aber ad hominem wahr sind;train8;200000
HspSections-066;Unbekannt;00004942.mp3;00004942.mp3;0;55680;58;1.740000000000001;28004;kunstgriff siebenundzwanzig;kunstgriff siebenundzwanzig;train9;200000
