Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-40-31_Samson.wav;2014-08-12-14-40-31_Samson.mp3;0;201;201;114624;deshalb habe ich vorgeschlagen den grenzwert für frost auf minus vierzig gradzelsius herabzusetzen;deshalb habe ich vorgeschlagen den grenzwert für frost auf minus vierzig grad celsius herabzusetzen;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-40-31_Yamaha.wav;2014-08-12-14-40-31_Yamaha.mp3;0;201;201;114624;deshalb hab ich vorgeschlagen den grenzwet für frost auf minest vierzig gradcelligus herabzusetzen;deshalb habe ich vorgeschlagen den grenzwert für frost auf minus vierzig grad celsius herabzusetzen;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-09_Kinect-Beam.wav;2014-08-12-14-41-09_Kinect-Beam.mp3;0;225;225;128448;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-09_Kinect-RAW.wav;2014-08-12-14-41-09_Kinect-RAW.mp3;0;219;219;124992;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-09_Realtek.wav;2014-08-12-14-41-09_Realtek.mp3;0;219;219;124992;frau präsidentin ich möchte nicht zu worten häden unzu erklären warum ich heute geben den bericht gestelmt habe;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-09_Samson.wav;2014-08-12-14-41-09_Samson.mp3;0;219;219;124992;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-09_Yamaha.wav;2014-08-12-14-41-09_Yamaha.mp3;0;219;219;124992;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;frau präsidentin ich möchte mich zu wort melden um zu erklären warum ich heute gegen den bericht gestimmt habe;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-19_Kinect-Beam.wav;2014-08-12-14-41-19_Kinect-Beam.mp3;0;144;144;81792;nutzfahrzeuge sind jeden tag und über weite strecken im einsatz;nutzfahrzeuge sind jeden tag und über weite strecken im einsatz;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-19_Kinect-RAW.wav;2014-08-12-14-41-19_Kinect-RAW.mp3;0;144;144;81792;nutzfahrzeuge sind jeden tag und über weiterstrecken im einsatz;nutzfahrzeuge sind jeden tag und über weite strecken im einsatz;train
PARL;female-2d11a4be-7333-4dc5-85b2-776c10bcc6f6;german-speechdata-package-v2-4v4;2014-08-12-14-41-19_Realtek.wav;2014-08-12-14-41-19_Realtek.mp3;0;144;144;81792;nutzverzeuge sind jedem tag und über weiterstrecken im einsatz;nutzfahrzeuge sind jeden tag und über weite strecken im einsatz;train
